图	1171980
：	1062837
 	871691
）	381622
（	379506
图表	235574
、	186310
价格	181690
，	175252
/	175203
走势	160412
-	157758
1	149698
%	145432
年	143642
与	136085
月	130574
的	125621
2	121005
3	118275
及	113882
指数	113338
:	109993
5	97884
4	95979
增速	93226
和	87126
同比	86286
行业	85488
.	81661
吨	81475
库存	79137
  	78785
6	76903
价差	75151
元	75064
(	73206
)	71226
7	70895
10	70437
情况	65126
8	62843
9	62403
市场	62356
合约	60038
12	59825
沪	56980
日	56157
对比	55747
周	54917
11	52812
变化	52388
公司	52022
中国	51694
表现	51309
单位	50570
产量	49595
美元	48508
13	47757
走势图	46282
2013	45810
收益率	44820
现货	44665
期	44506
14	41079
主要	40858
比	39842
利率	39557
净	38143
累计	38117
增长	36804
主力	36457
各	35782
国内	35364
个	35030
变动	34987
美国	34851
持仓	34461
2014	34346
一	34344
20	33872
进口	33860
投资	33819
15	33553
差	32714
占	32396
股	32300
期货	32279
300	31858
深	31594
16	30795
板块	30446
收入	30241
铜	29645
成交	29338
相对	28790
17	28561
环比	28211
国债	27738
资金	27703
。	27550
18	27355
利润	27228
涨跌幅	25814
股价	25139
现	24736
月度	24419
19	24109
我国	23943
全国	23618
下降	23578
近	22923
历史	22811
全球	22708
21	22174
亿元	22146
收益	22038
比较	22023
A	21962
基金	21929
上周	21886
当月	21806
销售	21781
22	21638
年度	21453
在	21100
企业	20754
前	20737
季度	20684
本	20610
中	20309
2012	20199
为	19749
价	19660
万吨	19616
数据	19511
LME	19305
面积	19296
规模	19294
出口	19255
23	19154
24	19110
水泥	18639
率	18555
量	18397
煤炭	18341
25	18242
分	18107
表	17855
销量	17831
30	17670
至今	17583
至	17325
城市	17125
上升	16962
26	16862
27	16648
基	16476
毛利率	16348
三	16283
以来	16191
分布	15936
28	15753
趋势	15671
结构	15497
原油	15403
PE	15181
指	15162
估值	15080
锌	15049
净利润	14974
www	14772
胶	14661
天	14356
圖	14304
黄金	14110
产品	14016
美	14006
涨幅	13976
29	13971
PTA	13929
PMI	13905
平均	13712
对	13656
非	13649
升	13575
银行间	13556
上海	13533
Q	13496
大豆	13439
net	13274
下跌	13217
融资	13057
jztzw	13039
流向	12944
比价	12919
消费	12880
31	12866
港口	12829
價	12792
交易	12671
水平	12528
国际	12453
均价	12331
铝	12329
债	12268
焦炭	12247
曲线	12238
预期	12147
2007.1	12117
回落	11935
分析	11915
,	11743
豆油	11715
地区	11692
上	11664
住宅	11650
